campus,entity,L1,L2,L3,L3p,L4x,L4freq,L4sev,L5r,L5r_shrunk,L5mae,L5cv,mean_annual_cost,nonlabor_cost2021,labor_cost_coverage,n_wos,n_years_window,n_years_active,tau_campus,r_L1,r_L2,r_L3,r_L4x,r_L5r,r_L5r_shrunk,r_L5mae,r_L5cv,n_burden_ledgers,mean_burden_rank,median_burden_rank,meii_burden,gap_risk,L6star,r_L6star
1,B20,272742.6251112198,2813.25,1180.6666666666665,0.9166666666666666,66393.44978056289,0.02562111801242236,2011.922720623118,244122.3966913329,242572.0981149064,13016.855411117334,0.4855366131861384,45457.104185203316,102839.0111261096,1.0,1288,6,6,1195.5495327102801,0.26666666666666666,0.4,0.3333333333333333,0.2,0.6,0.6,0.2,0.6666666666666666,4,0.3,0.3,0.08606629658238704,0.3,183629.6995661096,0.26666666666666666
1,B30,401317.6134920525,1417.5,737.0,0.9166666666666666,181707.48586918967,0.09701492537313433,2329.583152169099,239471.50096205343,239471.50096205343,41995.93720065974,0.6519159033049367,66886.26891534208,320437.83933573856,1.0,804,6,6,1195.5495327102801,0.4,0.2,0.26666666666666666,0.4,0.5333333333333333,0.5333333333333333,0.4,0.9333333333333333,4,0.31666666666666665,0.33333333333333337,0.1,0.19999999999999996,361145.49093573855,0.4
1,C10,2382404.271471479,27039.75,8488.0,1.0,659249.3348103219,0.025212064090480678,3080.604368272532,238647.53831656414,238922.19253172725,69834.1807569407,0.17775992692601314,397067.37857857975,761158.9440525792,1.0,8488,6,6,1195.5495327102801,0.6,0.6,0.7333333333333333,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.06666666666666667,4,0.6,0.6,0.10886621079036345,0.1333333333333333,1537684.3213725793,0.5333333333333333
1,C20,234691.7464488047,2410.0,706.75,0.9166666666666666,72590.07613299342,0.057068741893644616,1649.7744575680326,245871.51340425605,243738.17592352186,23753.681791701278,0.6549176300119155,39115.291074800785,93020.99670762989,1.0,771,6,6,1195.5495327102801,0.2,0.3333333333333333,0.2,0.26666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,4,0.25,0.23333333333333334,0.06382847385042252,0.4333333333333333,162231.1839076299,0.2
1,C30,3315100.452764593,35521.5,5264.0,1.0,1427887.478100568,0.10999240121580547,2466.1269051823283,92364.89431603876,141400.4298647103,91368.56216151542,0.38227590353535,552516.7421274323,1485594.274155585,1.0,5264,6,6,1195.5495327102801,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.06666666666666667,0.06666666666666667,0.6,0.13333333333333333,4,0.6833333333333333,0.6666666666666666,0.033333333333333326,0.6,2505697.869435585,0.6666666666666666
1,D10,1384022.861059567,1492.5,1202.7083333333335,0.9583333333333334,711818.9436957317,0.32350597609561754,1753.2486297924427,200324.08340402727,213373.222590036,178674.06520115375,0.6390707961399773,230670.47684326116,1291430.1511806136,1.0,1255,6,6,1195.5495327102801,0.4666666666666667,0.26666666666666666,0.4,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8666666666666667,4,0.41666666666666663,0.43333333333333335,0.1138550085106622,0.10000000000000003,1334291.6467806136,0.4666666666666667
1,D20,9780730.037393756,118127.11,30510.0,1.0,3272027.9122707667,0.041920681743690597,2558.2704552547043,432734.4106443157,368313.4407502283,470831.43779396726,0.42518062519074595,1630121.6728989594,3411720.893439295,1.0,30510,6,6,1195.5495327102801,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.3333333333333333,4,0.8833333333333334,0.8666666666666667,0.033333333333333326,0.06666666666666665,6804085.788250495,0.9333333333333333
1,D30,19044704.62933413,225149.07,31593.0,1.0,9647994.078487575,0.07087012945905738,4309.063902852869,1113265.485102696,822000.8237224818,959487.1955822344,0.4340638486159826,3174117.4382223547,5618315.5321354475,1.0,31593,6,6,1195.5495327102801,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,0.4,4,0.9833333333333334,1.0,0.033333333333333326,0.0,12084128.512469847,1.0
1,D40,4373691.5900995955,40665.95,17686.0,1.0,1034435.6889683569,0.02815786497794866,2077.180098330034,98475.10301561611,145473.90233109522,260557.97761468845,0.46613112342344387,728948.5983499326,1846677.5900485432,1.0,17686,6,6,1195.5495327102801,0.7333333333333333,0.7333333333333333,0.8,0.6666666666666666,0.13333333333333333,0.13333333333333333,0.8,0.5333333333333333,4,0.7333333333333333,0.7333333333333333,0.05443310539518177,0.6,3014519.088872543,0.7333333333333333
1,D50,7913948.478284336,90259.75,31765.0,1.0,1654964.393234685,0.02981268691956556,1747.5864764885798,293437.00507568626,275448.5037044753,368405.1554092069,0.42319640987724844,1318991.4130473894,2300942.7148633017,1.0,31765,6,6,1195.5495327102801,0.8666666666666667,0.8,1.0,0.8,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.26666666666666666,4,0.8666666666666667,0.8333333333333334,0.09428090415820632,0.033333333333333326,4893014.994583301,0.8666666666666667
1,D90,5902478.835021541,141761.91999999998,2481.125,0.9583333333333334,5348597.511145316,0.09076863653920432,22759.989409129004,200114.17207907792,213233.28170673642,185673.32056372613,0.4521106471446192,983746.4725035904,148226.7971335311,1.0,2589,6,6,1195.5495327102801,0.8,0.9333333333333333,0.5333333333333333,0.9333333333333333,0.26666666666666666,0.26666666666666666,0.7333333333333333,0.4666666666666667,4,0.8,0.8666666666666667,0.18856180831641267,0.6000000000000001,4219334.27473993,0.8
1,E10,2104105.267412958,21808.05,3773.0,1.0,814715.6531497156,0.06917572223694672,3121.515912451018,113379.35595194765,155410.07095531625,79458.34343326373,0.4669300239317363,350684.21123549313,1217494.7744620175,1.0,3773,6,6,1195.5495327102801,0.5333333333333333,0.5333333333333333,0.6,0.6,0.2,0.2,0.5333333333333333,0.6,4,0.5666666666666667,0.5666666666666667,0.03849001794597504,0.36666666666666664,1843776.6097180173,0.6
1,E20,399162.7192604814,5413.5,1261.3333333333333,0.9166666666666666,81836.82857034865,0.042877906976744186,1387.0648910228588,234384.3710604465,236080.08102764882,14414.847625112856,0.5816227524163268,66527.1198767469,83015.27982355551,1.0,1376,6,6,1195.5495327102801,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.4,0.4,0.26666666666666666,0.7333333333333333,4,0.39999999999999997,0.4,0.07698003589195011,0.0,238479.7397435555,0.3333333333333333
1,G20,89252.72259106024,1227.0,432.5,0.8333333333333334,37039.95369497664,0.02697495183044316,2645.7109782126167,258463.5010150524,252132.83433071943,5905.538324937226,0.6276267462696642,14875.45376517671,36340.357081036236,1.0,519,6,5,1195.5495327102801,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.7333333333333333,0.7333333333333333,0.13333333333333333,0.8,4,0.13333333333333333,0.13333333333333333,0.0,0.6,71577.24492103624,0.13333333333333333
1,G30,20401.821051674233,193.5,56.666666666666664,0.6666666666666666,0.0,0.0,0.0,264163.18261856097,255932.6220663918,1206.8599267493028,0.3922919402772375,3400.3035086123723,5421.310614486025,1.0,85,6,6,1195.5495327102801,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.8,0.8,0.06666666666666667,0.2,4,0.06666666666666667,0.06666666666666667,0.0,0.7333333333333334,10978.228134486024,0.06666666666666667
2,B10,755357.2942018937,0.0,133.65,0.55,252239.7671417966,0.35390946502057613,2933.0205481604253,551337.7009249761,618405.5916593617,222997.22210660554,1.164754872352673,151071.4588403787,755357.2942018937,1.0,243,5,4,3418.1667233832827,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.35714285714285715,0.8571428571428571,4,0.1607142857142857,0.17857142857142855,0.06838765055402414,0.035714285714285726,755357.2942018937,0.2857142857142857
2,B20,2246372.277168138,21596.329999999998,421.4,0.7,1587701.2913070878,0.1877076411960133,14050.453905372457,828918.0904549225,791893.3351155781,299129.6367216283,1.085381893036405,449274.4554336276,1061362.0203783265,1.0,602,5,5,3418.1667233832827,0.5,0.7142857142857143,0.2857142857142857,0.5,0.6428571428571429,0.6428571428571429,0.5,0.5714285714285714,4,0.5,0.5,0.1749635530559413,0.1428571428571429,1531435.5570297865,0.5
2,B30,1081532.9015048686,16284.630000000001,761.8000000000001,0.65,165667.93384298906,0.04692832764505119,3012.144251690711,489824.73561560956,579959.9883410076,290875.23977018567,1.1156715759491533,216306.58030097373,157575.98511032216,1.0,1172,5,5,3418.1667233832827,0.2857142857142857,0.5,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.7142857142857143,4,0.30357142857142855,0.3214285714285714,0.17857142857142858,0.17857142857142855,512033.1367263822,0.21428571428571427
2,C10,1442272.2410138473,15560.960000000001,2899.2000000000003,0.8,703967.2678955637,0.011037527593818985,17599.181697389093,624625.5076875053,664210.4708859425,180973.41638111955,0.8224559541716565,288454.44820276945,565632.0823481978,1.0,3624,5,5,3418.1667233832827,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,4,0.5,0.42857142857142855,0.14285714285714288,0.0,904337.5707757178,0.42857142857142855
2,C30,4690266.317506554,17127.300000000003,1542.75,0.75,2333917.0692724474,0.12542537676227516,9046.190190978477,256919.99741459123,434394.5269653711,968434.8692687846,0.8842202774957014,938053.2635013107,3869139.3787792707,1.0,2057,5,5,3418.1667233832827,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.07142857142857142,0.07142857142857142,0.7142857142857143,0.42857142857142855,4,0.6071428571428572,0.6071428571428572,0.04123930494211617,0.5357142857142858,4241938.390661871,0.6428571428571429
2,D10,5145285.24216241,20324.340000000004,1038.8,0.7,4279230.171282304,0.06266846361185983,46013.22764819683,1000631.7085079671,899214.346398731,1029474.5433182745,1.091673095620084,1029057.048432482,3912560.5755397123,1.0,1484,5,5,3418.1667233832827,0.7142857142857143,0.6428571428571429,0.5,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.6428571428571429,4,0.6607142857142857,0.6785714285714286,0.12198750911856664,0.1785714285714285,4354947.517390792,0.7142857142857143
2,D20,13330707.236549936,112410.47,12744.0,0.8,5724173.811058318,0.04814814814814815,7463.068854052566,2161467.528780591,1624736.734069121,3505194.9700900246,1.0537404449504795,2666141.4473099867,6916316.704263976,1.0,15930,5,5,3418.1667233832827,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.5,4,0.9285714285714286,0.9285714285714286,0.0,0.0,9363083.686874116,0.9285714285714286
2,D30,20427220.52903137,178555.06,16012.0,0.8,9957933.300010515,0.052110916812390704,9547.395302023504,2676599.5173829156,1946694.226945574,4424012.026645057,0.8218055192645172,4085444.105806274,10063728.728704775,1.0,20015,5,5,3418.1667233832827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21428571428571427,4,1.0,1.0,0.0,0.0,13950222.801596494,1.0
2,D40,1148107.529899517,12518.260000000002,1423.1,0.7,661288.7824482599,0.014756517461878997,22042.959414942,739948.9245238195,736287.6064086386,130640.52781090797,1.118462408125278,229621.50597990336,500225.27503730205,1.0,2033,5,5,3418.1667233832827,0.35714285714285715,0.35714285714285715,0.5714285714285714,0.35714285714285715,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.7857142857142857,4,0.4107142857142857,0.35714285714285715,0.10714285714285712,0.21428571428571425,772702.2538074221,0.35714285714285715
2,D50,7441940.306106905,81178.2,7356.8,0.8,4407688.404928596,0.025989560678555894,18442.21089928283,939666.8479037783,861111.3085211131,719547.175503441,0.7901646617300012,1488388.061221381,2925348.193604909,1.0,9196,5,5,3418.1667233832827,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.14285714285714285,4,0.8392857142857143,0.8571428571428571,0.0357142857142857,0.1428571428571428,4692302.281313309,0.7857142857142857
2,D90,3119450.1560746147,11454.67,828.75,0.75,2845770.0108336313,0.03800904977375565,67756.42882937219,939873.007138886,861240.1580430553,542339.1613246098,1.2304010173096767,623890.0312149229,2437532.792036124,1.0,1105,5,5,3418.1667233832827,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.6428571428571429,0.7857142857142857,0.7857142857142857,0.5714285714285714,0.9285714285714286,4,0.4821428571428571,0.5,0.1583825559005961,0.2857142857142857,2686859.285846664,0.5714285714285714
2,E10,8155135.616734847,41253.72,6141.6,0.8,4275878.092093664,0.0612218314445747,9097.612961901414,572941.562835646,631908.0053535303,1288564.473997916,0.7272277532124576,1631027.12334697,5696552.898031184,1.0,7677,5,5,3418.1667233832827,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.07142857142857142,4,0.7857142857142857,0.7857142857142857,0.0583211843519804,0.5,6594496.301397825,0.8571428571428571
2,E20,542774.7963814952,5681.969999999999,118.3,0.7,414367.97304797405,0.10059171597633136,24374.586649880832,720421.894576189,724083.2126913697,61166.692263277306,0.8604398297709019,108554.95927629904,208678.05422001745,1.0,169,5,5,3418.1667233832827,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.2857142857142857,0.5,0.5,0.07142857142857142,0.35714285714285715,4,0.1607142857142857,0.14285714285714285,0.08987898137227084,0.35714285714285715,332353.87011315743,0.14285714285714285
2,G20,401600.30276023503,6954.94,167.4,0.6,251920.74975719818,0.08960573476702509,10076.829990287928,602757.7231372404,650543.1055420268,168395.40628732802,1.8551657024913815,80320.06055204701,46698.18015571903,1.0,279,5,4,3418.1667233832827,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.35714285714285715,0.21428571428571427,1.0,4,0.1607142857142857,0.17857142857142855,0.06838765055402414,0.1785714285714286,198081.92188399902,0.07142857142857142
4,B20,680556.1282803727,2500.95,3783.0,1.0,363282.37893239106,0.03965107057890563,2421.8825262159403,96228.4937385659,98208.49741027744,53934.99950536254,0.32234229629260813,136111.22565607453,462890.5314073842,1.0,3783,5,5,796.4999999999999,0.2,0.26666666666666666,0.26666666666666666,0.2,0.4,0.4,0.26666666666666666,0.6666666666666666,4,0.23333333333333334,0.23333333333333334,0.03849001794597504,0.16666666666666669,534712.6134313842,0.26666666666666666
4,B30,1297789.3347778078,6627.4,5024.0,1.0,624599.6115541866,0.039211783439490444,3170.5564038283583,70216.23578299402,81950.83618804501,29962.03211320926,0.1570634124850253,259557.86695556162,729667.9159115457,1.0,5024,5,5,796.4999999999999,0.4,0.3333333333333333,0.4,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.2,4,0.36666666666666664,0.3666666666666667,0.03849001794597508,0.23333333333333336,919993.0589195457,0.3333333333333333
4,C10,2984965.981460362,60853.02,21834.0,1.0,839952.571380373,0.023816066684986717,1615.2934065007173,101508.5035297967,101508.5035297967,152130.5444649338,0.1986733422496243,596993.1962920725,933609.4385849626,1.0,21834,5,5,796.4999999999999,0.6,0.8,0.7333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.6,0.3333333333333333,4,0.6666666666666666,0.6666666666666666,0.12171612389003693,0.1333333333333333,2681181.5987033625,0.7333333333333333
4,C20,213280.35524412672,659.1500000000001,279.0,1.0,165142.23288559797,0.10752688172043011,5504.7410961866,87515.33776898343,92762.7749292884,35580.42076559348,0.7321710639889976,42656.071048825346,159394.02289773533,1.0,279,5,5,796.4999999999999,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.2,1.0,4,0.13333333333333333,0.13333333333333333,0.0,0.19999999999999998,178323.43986573533,0.13333333333333333
4,C30,2939445.46446748,25388.140000000003,8289.0,1.0,1636269.1381520934,0.08710339003498613,2266.30074536301,75361.25501342834,85166.47320706648,138422.12831924346,0.20799368301238436,587889.0928934959,822320.8738758636,1.0,8289,5,5,796.4999999999999,0.5333333333333333,0.6,0.5333333333333333,0.6,0.2,0.2,0.4666666666666667,0.4,4,0.5666666666666667,0.5666666666666667,0.03849001794597504,0.36666666666666664,1551415.4473446636,0.6
4,D10,1026304.9271140776,1078.8700000000001,14414.0,1.0,647554.7566778131,0.012002220063826835,3743.0910790625035,100995.62722012908,101187.95583625443,106379.76299063598,0.6383890027987044,205260.98542281552,935821.2614021257,1.0,14414,5,5,796.4999999999999,0.3333333333333333,0.2,0.6666666666666666,0.4,0.4666666666666667,0.4666666666666667,0.4,0.9333333333333333,4,0.4,0.3666666666666667,0.19626135258506325,0.09999999999999998,966804.1637525257,0.4
4,D20,10695898.520560252,65565.44,47382.0,1.0,4029861.8972925497,0.0426533282681187,1993.9940115252598,501543.4852806586,351530.3671240854,536579.6218056249,0.2192494512104892,2139179.7041120506,4828388.367711725,1.0,47382,5,5,796.4999999999999,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.8666666666666667,1.0,1.0,0.9333333333333333,0.4666666666666667,4,0.9,0.9,0.03849001794597504,0.09999999999999998,6711291.428396525,0.9333333333333333
4,D30,12833195.604978098,63226.12,34982.0,1.0,5868701.218877866,0.08052712823737922,2083.31601664106,333016.60406223265,246201.06636256917,386319.2984244907,0.15165005511275434,2566639.12099562,6854760.593290186,1.0,34982,5,5,796.4999999999999,1.0,0.8666666666666667,0.8666666666666667,1.0,0.8,0.8,0.8666666666666667,0.13333333333333333,4,0.9333333333333333,0.9333333333333333,0.07698003589195009,0.1333333333333333,8670483.249360586,1.0
4,D40,5322081.791434537,44465.270000000004,25279.0,1.0,2495348.1149974703,0.044186874480794336,2233.973245297646,105478.8568264078,103989.97434017864,159779.5042753671,0.13813354174119796,1064416.3582869074,1355722.6816807175,1.0,25279,5,5,796.4999999999999,0.8,0.7333333333333333,0.8,0.7333333333333333,0.6,0.6,0.6666666666666666,0.06666666666666667,4,0.7666666666666666,0.7666666666666666,0.038490017945975105,0.16666666666666663,2632672.7483191174,0.6666666666666666
4,D50,11723459.435645174,98617.08,54384.0,1.0,3862287.0675134356,0.04069211532803766,1745.2720594276707,392547.3239107117,283407.7662678686,552983.472839421,0.183458415049429,2344691.887129034,3084475.457541455,1.0,54384,5,5,796.4999999999999,0.9333333333333333,1.0,1.0,0.8,0.8666666666666667,0.8666666666666667,1.0,0.26666666666666666,4,0.9333333333333333,0.9666666666666667,0.09428090415820632,0.09999999999999998,5916552.871615055,0.8666666666666667
4,D90,3367610.084687786,36787.47,4165.0,1.0,1714479.4455600602,0.28763505402160866,1431.1180680801838,300431.7244329509,225835.51659426806,370524.86660111864,0.5111502225655905,673522.0169375574,113877.02981463296,1.0,4165,5,5,796.4999999999999,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.8,0.8,4,0.5833333333333333,0.6666666666666666,0.16666666666666666,0.06666666666666665,1170336.650277033,0.4666666666666667
4,E10,1965022.9700380058,11396.689999999999,11968.0,1.0,767163.708483282,0.03375668449197861,1898.9200705031735,152858.57126054764,133602.29586151603,148794.72435756776,0.2847701019676538,393004.59400760115,978491.1802342125,1.0,11968,5,5,796.4999999999999,0.4666666666666667,0.4666666666666667,0.6,0.4666666666666667,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.6,4,0.5,0.4666666666666667,0.06666666666666665,0.19999999999999996,1305780.4119190124,0.5333333333333333
4,E20,907984.5097903928,10073.46,6225.0,1.0,426660.4402380575,0.03228915662650603,2122.688757403271,49784.74498402425,69181.15443868891,55791.532928204455,0.25092337788257485,181596.90195807855,185921.7129829795,1.0,6225,5,5,796.4999999999999,0.26666666666666666,0.4,0.4666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.5333333333333333,4,0.35,0.33333333333333337,0.1,0.2666666666666667,475210.53138617944,0.2
4,F10,25099.20896458453,125.0,46.5,0.75,8095.281166545602,0.14516129032258066,899.4756851717337,76461.63539741123,85854.21094705578,3106.630129294373,0.5152599447879544,5019.841792916906,13319.213355667967,1.0,62,5,5,796.4999999999999,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.8666666666666667,4,0.06666666666666667,0.06666666666666667,0.0,0.2,16908.953355667967,0.06666666666666667
