campus,entity,L1,L1_2021,L2,L3,persistence,L4,L5,n_wos,n_years_active,tau_campus,r_L1,r_L2,r_L3,r_L4,r_L5,n_ledgers,mean_rank,meii,meii_iqr,L6,meii_obs_boot,mean_rank_obs,noise_floor_p95,noise_floor_median,significant,cost_floor_p95,significant_costfloor,rank_sd_L1,rank_sd_L2,rank_sd_L3,rank_sd_L4,rank_sd_L5,meii_class
1,B20,251170.59039735,272742.6251112198,2813.25,1180.6666666666663,0.9166666666666666,97305.78369607,0.4779251548360073,1288,6,1102.8,0.2666666666666666,0.4,0.3333333333333333,0.2,0.7333333333333333,5,0.3866666666666666,0.2076321533652991,0.1333333333333333,366423.8501112198,0.20763215336529914,0.3866666666666666,0.14605934866804426,0.059628479399994376,True,0.036514837167011066,True,0.02061786136626289,0.020447120858890805,0.029436935979591274,0.04170277381141212,0.11130663477404452,medium
1,B30,373655.92318347,401317.6134920525,1417.5,737.0,0.9166666666666666,255468.34252863,0.6668893466757261,804,6,1102.8,0.4,0.2,0.2666666666666666,0.4,1.0,5,0.4533333333333333,0.3176301133219092,0.1333333333333333,448520.3634920525,0.3176301133219092,0.4533333333333333,0.10110500592068733,0.03651483716701108,True,0.0365148371670111,True,0.03316212286720691,0.04390005686523156,0.006956975680691465,0.0029799313921990552,0.07266247581074102,high
1,C10,2195181.37066251,2382404.271471479,27039.75,8488.0,1.0,840631.16115041,0.2031640127694491,8488,6,1102.8,0.6,0.6,0.7333333333333333,0.4666666666666667,0.0666666666666666,5,0.4933333333333333,0.2564717874889512,0.1333333333333333,3282827.946471479,0.2564717874889512,0.49333333333333335,0.059628479399994404,0.0,True,0.030149269573347577,True,0.017568209223157546,0.022405550101303143,7.664372014446628e-15,0.028644612882364407,0.06631203642676031,medium
1,C20,215323.74386844,234691.7464488047,2410.0,706.75,0.9166666666666666,115695.49325301996,0.6441291290041065,771,6,1102.8,0.2,0.3333333333333333,0.2,0.2666666666666666,0.8666666666666667,5,0.3733333333333333,0.2812669747963865,0.1333333333333333,314944.74644880474,0.2812669747963865,0.37333333333333335,0.16695929510638882,0.04714045207910315,True,0.036514837167011066,True,0.020617861366262688,0.02070829007238813,0.006956975680691542,0.044771370167751054,0.22985780906936354,medium
1,C30,3055002.20806272,3315100.452764593,35521.5,5264.0,1.0,1951059.87282183,0.381790544493869,5264,6,1102.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.2,5,0.5866666666666667,0.2180723631172816,0.0,4497966.402764593,0.21807236311728165,0.5866666666666667,0.059628479399994404,0.029814239699997188,True,0.0,True,2.99910209260955e-15,0.011711696311686167,2.99910209260955e-15,0.002108185106778921,0.0729382081245948,medium
1,D10,1287109.97160417,1384022.861059567,1492.5,1202.7083333333337,0.9583333333333334,1113764.1575500602,0.6461840905671781,1255,6,1102.8,0.4666666666666667,0.2666666666666666,0.4,0.6,0.9333333333333332,5,0.5333333333333334,0.2538591035287969,0.1999999999999999,1433723.111059567,0.2538591035287969,0.5333333333333334,0.08164965809277264,0.03651483716701107,True,0.0,True,1.1107785528183519e-14,0.04498073587585308,0.02943693597959103,0.03445855244029748,0.07193269138484656,medium
1,D20,9030919.11940466,9780730.037393756,118127.11,30510.0,1.0,4439012.84716039,0.4271442668215578,30510,6,1102.8,0.9333333333333332,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.4,5,0.7866666666666667,0.2180723631172816,0.0,13714362.800393756,0.21807236311728168,0.7866666666666667,0.08944271909999162,0.059628479399994376,True,0.0,True,2.2215571056367038e-14,0.01713022345641687,5.9982041852191e-15,0.0166764735912032,0.08522279711068852,medium
1,D30,17578298.58175888,19044704.62933413,225149.07,31593.0,1.0,11382071.576480038,0.434561599899394,31593,6,1102.8,1.0,1.0,0.9333333333333332,1.0,0.4666666666666667,5,0.8800000000000001,0.2328566559543063,0.0666666666666666,26542168.66033413,0.23285665595430638,0.8800000000000001,0.11925695879998875,0.029814239699997188,True,0.0,True,0.0,0.0,2.2215571056367038e-14,0.0,0.10516113021336441,medium
1,D40,4037615.72624785,4373691.590099596,40665.95,17686.0,1.0,1501129.07355737,0.4650868600307529,17686,6,1102.8,0.7333333333333333,0.7333333333333333,0.8,0.6666666666666666,0.6666666666666666,5,0.72,0.0557773351022717,0.0666666666666666,5727867.725099595,0.05577733510227173,0.72,0.11925695879998875,0.08944271909999157,False,0.0,True,7.664372014446628e-15,0.009783781940319479,1.132994123874719e-14,0.0036527018931208563,0.08263374009246066,low
1,D50,7301158.9730864,7913948.478284336,90259.75,31765.0,1.0,2562025.41600462,0.4228293992694081,31765,6,1102.8,0.8666666666666667,0.8,1.0,0.8,0.3333333333333333,5,0.76,0.2521022720158538,0.0666666666666666,10919598.153284336,0.25210227201585383,0.76,0.08944271909999157,0.029814239699997188,True,0.0,True,5.9982041852191e-15,1.132994123874719e-14,0.0,1.132994123874719e-14,0.07255981773248664,medium
1,D90,5437250.30898542,5902478.835021541,141761.91999999998,2481.125,0.9583333333333334,5184546.97206985,0.4458296683639865,2589,6,1102.8,0.8,0.9333333333333332,0.5333333333333333,0.9333333333333332,0.5333333333333333,5,0.7466666666666667,0.2022100118413747,0.4,10623150.77102154,0.2022100118413747,0.7466666666666667,0.14907119849998596,0.059628479399994376,True,0.0,True,1.132994123874719e-14,0.017130223456416804,1.0774551962338014e-14,0.016676473591203583,0.1767356341354575,medium
1,E10,1941145.34212571,2104105.267412958,21808.05,3773.0,1.0,1035690.15274186,0.4639938675237812,3773,6,1102.8,0.5333333333333333,0.5333333333333333,0.6,0.5333333333333333,0.6,5,0.5599999999999999,0.036514837167011,0.0666666666666666,2830313.332412958,0.036514837167011066,0.5599999999999999,0.10110500592068732,0.036514837167011066,False,0.03014926957334758,True,0.01756820922315772,0.023260623640988694,1.132994123874719e-14,0.04186886541070444,0.10614132812949263,low
1,E20,366389.06866493,399162.7192604814,5413.5,1261.3333333333333,0.9166666666666666,139864.24820948,0.5652204800429813,1376,6,1102.8,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.8,5,0.48,0.1909042808436847,0.1333333333333333,579432.2692604815,0.19090428084368474,0.48,0.09428090415820635,0.036514837167011094,True,0.036514837167011066,True,0.0331621228672068,1.1107785528183519e-14,1.1107785528183519e-14,0.037303804042191545,0.09248287393274365,medium
1,G20,82538.29869883001,89252.72259106024,1227.0,432.5,0.8333333333333334,49993.93648803,0.3613349709965766,519,5,1102.8,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,5,0.1333333333333333,0.0,0.0,130111.82259106023,0.0,0.13333333333333333,0.38758511609996354,0.23851391759997756,False,0.0,False,2.6936379905845034e-15,0.04820598666642753,2.6936379905845034e-15,0.015654483083717308,0.29510464071443093,low
1,G30,18860.49927273,20401.821051674237,193.5,56.66666666666666,0.6666666666666666,0.0,0.4032839316817111,85,6,1102.8,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.2666666666666666,5,0.1066666666666666,0.0894427190999915,0.0,26845.371051674232,0.08944271909999159,0.10666666666666666,0.3279566366999692,0.17888543819998315,False,0.0,True,1.3468189952922517e-15,1.3468189952922517e-15,1.3468189952922517e-15,1.3468189952922517e-15,0.2812003442985687,low
2,B10,707263.5,755357.2942018937,0.0,133.65,0.55,502275.45,,243,4,3187.52,0.2142857142857142,0.0714285714285714,0.1428571428571428,0.2857142857142857,,4,0.1785714285714285,0.0922138891954146,0.1071428571428571,755357.2942018937,0.09221388919541468,0.17857142857142855,0.06838765055402414,0.03571428571428571,True,0.050507627227610534,True,0.029111161168915288,8.191991827035345e-16,0.006366343239616624,0.0575709688755851,,low
2,B20,2037579.1,2246372.277168138,21596.33,421.4,0.7,1784199.39,1.0509234198072424,602,5,3187.52,0.5,0.7142857142857143,0.2857142857142857,0.5,0.5833333333333334,5,0.5166666666666667,0.1560386893124852,0.0833333333333333,2804853.370968138,0.1560386893124852,0.5166666666666667,0.18633899812498245,0.08518354199999201,False,0.039123039821797566,True,0.032356764756873366,0.0783942335885849,3.276796730814138e-15,0.03253345620605808,0.21072125542500944,medium
2,B30,1006792.68,1081532.9015048686,16284.63,761.8000000000001,0.65,327762.6,1.1162563224869693,1172,5,3187.52,0.2857142857142857,0.5,0.3571428571428571,0.1428571428571428,0.9166666666666666,5,0.4404761904761904,0.2957081511517671,0.2142857142857143,1502653.4333048686,0.29570815115176713,0.4404761904761904,0.16785292125728157,0.07788298682760059,True,0.06388765649999399,True,0.04028052233602905,0.07043492333611306,0.02905698873435783,0.05608760369882487,0.1176809195359973,high
2,C10,1333121.44,1442272.2410138473,15560.96,2899.2000000000003,0.8,777142.62,0.813121864428029,3624,5,3187.52,0.4285714285714285,0.4285714285714285,0.7142857142857143,0.4285714285714285,0.25,5,0.45,0.1667516789989822,0.0,1844678.6666138477,0.1667516789989822,0.45,0.1775125684714607,0.07453559924999299,False,0.06388765649999399,True,0.04014640934333712,0.11680406288941704,9.997006975365167e-15,0.05960500682384894,0.14083858700574656,medium
2,C30,4335653.17,4690266.317506554,17127.300000000003,1542.75,0.75,2966966.5000000005,0.8931529569961407,2057,5,3187.52,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.5,5,0.6,0.063887656499994,0.0714285714285715,5133178.295506554,0.06388765649999402,0.6,0.1894137033596254,0.0900365257199478,False,0.06388765649999402,False,0.04436264842395468,0.08960427939596195,0.016292452714186955,0.05371074406206995,0.21435998390762734,low
2,D10,4775234.709999999,5145285.24216241,20324.340000000004,1038.8,0.7,4267985.14,1.1015087500819567,1484,5,3187.52,0.7142857142857143,0.6428571428571429,0.5,0.7142857142857143,0.8333333333333334,5,0.680952380952381,0.1221036324281722,0.0714285714285714,5670872.67456241,0.12210363242817225,0.680952380952381,0.1632558773252852,0.08584918608462194,False,0.10832679205787929,True,0.07182515388275401,0.11871682914505807,0.0,0.09543640871338376,0.1733747402168647,medium
2,D20,12419282.0,13330707.236549936,112410.47,12744.0,0.8,7768021.02,1.055831903843392,15930,5,3187.52,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.6666666666666666,5,0.8761904761904763,0.117127370249989,0.0,16237641.990749937,0.11712737024998901,0.8761904761904763,0.07453559924999298,0.03726779962499651,True,0.0,True,0.002258769757263151,0.012386025096831142,1.0219162685928838e-14,0.013339919927336567,0.11565297924366137,low
2,D30,18944676.01,20427220.52903137,178555.06,16012.0,0.8,12491817.01,0.8327163972662257,20015,5,3187.52,1.0,1.0,1.0,1.0,0.3333333333333333,5,0.8666666666666666,0.2981423969999719,0.0,25044654.38063137,0.2981423969999719,0.8666666666666666,0.07453559924999298,0.03726779962499651,True,0.0,True,0.0,0.0,0.0,0.0,0.11302206586993323,high
2,D40,1054582.95,1148107.529899517,12518.260000000002,1423.1,0.7,695230.3499999999,1.1007246157887696,2033,5,3187.52,0.3571428571428571,0.3571428571428571,0.5714285714285714,0.3571428571428571,0.75,5,0.4785714285714285,0.1778557085426961,0.2142857142857142,1471829.7334995172,0.17785570854269617,0.47857142857142854,0.17407025453746897,0.0733858809877259,True,0.10832679205787929,True,0.06953091998923126,0.07861590852568025,0.016292452714186976,0.0909865878655547,0.22953079356257905,medium
2,D50,6804504.02,7441940.306106905,81178.2,7356.8,0.8,4724050.68,0.7757559716429501,9196,5,3187.52,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.1666666666666666,5,0.6904761904761905,0.2949883736515206,0.0714285714285714,9541208.558106905,0.29498837365152064,0.6904761904761905,0.13267268300719076,0.042591770999996,True,0.06388765649999396,True,0.04638022871236523,0.012386025096831309,6.6646713169101116e-15,0.07215981340971132,0.17637359521763402,high
2,D90,2829775.1,3119450.1560746147,11454.67,828.75,0.75,2708763.2,1.2082751441288029,1105,5,3187.52,0.5714285714285714,0.2857142857142857,0.4285714285714285,0.5714285714285714,1.0,5,0.5714285714285714,0.2672612419124244,0.1428571428571428,3415667.9222746147,0.2672612419124244,0.5714285714285714,0.22360679774997896,0.07824607964359517,True,0.11952286093343939,True,0.06730344897581371,0.0984358063680195,0.02905698873435797,0.0821732701301033,0.17398669843839437,medium
2,E10,7509446.34,8155135.616734847,41253.72,6141.6,0.8,5387592.31,0.7333501194363139,7677,5,3187.52,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.0833333333333333,5,0.6738095238095239,0.3320126899741256,0.0714285714285714,9221956.815934848,0.33201268997412564,0.6738095238095239,0.12535532601135183,0.03912303982179756,True,0.06388765649999396,True,0.035846316795670366,0.003192783634498984,1.3551498344383892e-14,0.04574854822131752,0.09046979181665465,high
2,E20,494053.59,542774.7963814952,5681.969999999999,118.3,0.7,429173.49,0.8344020301219127,169,5,3187.52,0.1428571428571428,0.1428571428571428,0.0714285714285714,0.2142857142857142,0.4166666666666667,5,0.1976190476190476,0.1324588671019154,0.0714285714285714,689710.5405814952,0.13245886710191548,0.19761904761904764,0.2442507130896194,0.08750736399317756,False,0.07824607964359516,True,0.04538203297200114,0.051552227128591116,8.191991827035345e-16,0.09955991906186987,0.3135019807675755,medium
2,G20,373079.48,401600.30276023503,6954.94,167.4,0.6,309850.53,,279,4,3187.52,0.0714285714285714,0.2142857142857142,0.2142857142857142,0.0714285714285714,,4,0.1428571428571428,0.0824786098842322,0.1428571428571428,581455.051160235,0.08247860988423225,0.14285714285714285,0.08987898137227081,0.03571428571428571,False,0.03912303982179758,True,0.031663126408839094,0.044408271116123485,0.006366343239616624,0.06615464958830934,,low
4,B20,632996.26,680556.1282803727,2500.95,3783.0,1.0,450099.67999999993,0.339758041573098,3783,5,735.0,0.2,0.2666666666666666,0.2666666666666666,0.2,0.6666666666666666,5,0.32,0.196638416050035,0.0666666666666666,763837.7632803727,0.196638416050035,0.32,0.10110500592068732,0.029814239699997188,True,0.0,True,0.005151038717242684,5.387275981169007e-15,5.387275981169007e-15,0.026771897808897764,0.10952326643278905,medium
4,B30,1199831.25,1297789.3347778078,6627.4,5024.0,1.0,722834.8299999998,0.1557843417081189,5024,5,735.0,0.4,0.3333333333333333,0.4,0.3333333333333333,0.2,5,0.3333333333333333,0.0816496580927726,0.0666666666666667,1518481.7547778075,0.08164965809277261,0.3333333333333333,0.17888543819998315,0.07302967433402217,False,0.029814239699997212,True,0.013827190285491595,1.499551046304775e-15,5.664970619373595e-15,0.04180080510357783,0.16487359981561986,low
4,C10,2763033.51,2984965.981460362,60853.02,21834.0,1.0,1160133.81,0.2063160870762365,21834,5,735.0,0.6,0.8,0.7333333333333333,0.5333333333333333,0.4,5,0.6133333333333333,0.1591644851508443,0.1999999999999999,5011371.547460362,0.1591644851508443,0.6133333333333333,0.10110500592068733,0.04714045207910316,True,0.036514837167011066,True,0.03337608203100871,0.03829301821655007,7.664372014446628e-15,0.02432265593210558,0.09454707071976494,medium
4,C20,194872.28,213280.35524412672,659.1500000000001,279.0,1.0,172350.31,0.7187916630829392,279,5,735.0,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,1.0,5,0.3066666666666666,0.3875851160999635,0.0,235230.05024412676,0.38758511609996354,0.30666666666666664,0.11925695879998881,0.0,True,0.0,True,2.6936379905845034e-15,0.011915059181639272,2.6936379905845034e-15,0.0029799313921989663,0.08800521718389702,high
4,C30,2715724.34,2939445.46446748,25388.140000000003,8289.0,1.0,2043525.1,0.2031481914334751,8289,5,735.0,0.5333333333333333,0.6,0.5333333333333333,0.6,0.3333333333333333,5,0.52,0.1095445115010332,0.0666666666666666,3784870.52646748,0.10954451150103321,0.52,0.11925695879998878,0.059628479399994376,False,0.055777335102271695,True,0.03442076747659944,0.01974039048118546,1.0774551962338014e-14,0.008369192118122346,0.1364722242851439,low
4,D10,940159.06,1026304.9271140776,1078.87,14414.0,1.0,744492.04,0.6105981395062314,14414,5,735.0,0.3333333333333333,0.2,0.6666666666666666,0.4,0.9333333333333332,5,0.5066666666666666,0.2928784351531839,0.3333333333333333,1062231.2981140777,0.29287843515318396,0.5066666666666666,0.14452988925785867,0.03651483716701108,True,0.05577733510227169,True,0.03345549852404829,0.011915059181639256,2.99910209260955e-15,0.04815312209620525,0.12064612492844257,high
4,D20,9939933.180000002,10695898.520560252,65565.44,47382.0,1.0,5259299.04,0.2490139051900519,47382,5,735.0,0.8666666666666667,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.5333333333333333,5,0.8400000000000001,0.1738453974720706,0.0666666666666666,12879227.672560252,0.17384539747207065,0.8400000000000001,0.17409739950846603,0.07030094040780832,False,0.059628479399994376,True,0.026606455213247823,0.019170195233073648,2.2215571056367038e-14,0.04614484938649923,0.21121908618442103,medium
4,D30,11852801.4,12833195.604978098,63226.12,34982.0,1.0,7480376.370000001,0.1434224656932723,34982,5,735.0,1.0,0.8666666666666667,0.8666666666666667,1.0,0.1333333333333333,5,0.7733333333333333,0.3639291750388315,0.1333333333333333,14938625.400978098,0.3639291750388315,0.7733333333333333,0.10136841497999047,0.029814239699997188,True,0.029814239699997188,True,0.011025495978030181,0.02955676726877031,5.9982041852191e-15,0.005560958333859727,0.1222382988381168,high
4,D40,4908307.23,5322081.791434537,44465.27,25279.0,1.0,3112414.65,0.1125761152568709,25279,5,735.0,0.8,0.7333333333333333,0.8,0.7333333333333333,0.0666666666666666,5,0.6266666666666667,0.3148191720831358,0.0666666666666667,6802775.282434536,0.31481917208313587,0.6266666666666667,0.08944271909999157,0.029814239699997188,True,0.03651483716701113,True,0.027401860759521175,7.664372014446628e-15,1.132994123874719e-14,0.007262649613794254,0.076848939639373,high
4,D50,10819493.279999996,11723459.435645174,98617.08,54384.0,1.0,5174665.779999999,0.1731888465040107,54384,5,735.0,0.9333333333333332,1.0,1.0,0.8666666666666667,0.2666666666666666,5,0.8133333333333335,0.3105550586360564,0.1333333333333333,15007408.199645177,0.3105550586360564,0.8133333333333335,0.0816496580927726,0.036514837167011066,True,0.036514837167011066,True,0.022498285257018552,0.0,0.0,0.037782134824996046,0.0882838233572451,high
4,D90,3083751.51,3367610.084687786,36787.47,4165.0,1.0,2426531.45,0.4933810459557805,4165,5,735.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8,5,0.6266666666666666,0.1738453974720706,0.0,4592632.835687786,0.17384539747207065,0.6266666666666666,0.05962847939999443,0.029814239699997188,True,0.02981423969999719,True,0.013575380570145878,2.99910209260955e-15,1.499551046304775e-15,0.008369192118122534,0.061952735447365674,medium
4,E10,1828958.94,1965022.9700380056,11396.69,11968.0,1.0,1015251.1,0.3112791705660614,11968,5,735.0,0.4666666666666667,0.4666666666666667,0.6,0.4666666666666667,0.6,5,0.52,0.0730296743340221,0.1333333333333333,2344532.747038006,0.07302967433402213,0.52,0.10152698119970427,0.029814239699997188,False,0.0,True,1.1107785528183519e-14,0.014809208148287746,1.132994123874719e-14,0.02934770782567659,0.1065679014743849,low
